relation_family,node_id,node_label,node_type,degree,betweenness_undirected_projection,top_degree_5,top_betweenness_5
INSTITUTION_EVENT_ORGANIZER,P-0015,Hyŏnt'ae,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0020,Songgwangsa lineage,INSTITUTIONS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0001,Hyecho,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0007,Jogye pilgrimage to the 8 great sites + Nepal,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0022,Hyŏnyu,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0024,Jungto Society,INSTITUTIONS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0063,Hyoseok (Ven.),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0077,Ch'ukwŏn Chijŏn,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0012,KBPF 2026 India pilgrimage (Dharamsala/Ajanta-Ellora/Sanchi),EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0010,Hyeil (Silla esoteric monk),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0029,Ch'oe Nam-sŏn,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0071,Vinoba Bhave,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0051,Ko Un,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,TX-0019,Wookwan's Korean Temple Food,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0038,Mohandas Karamchand Gandhi,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0073,Hwang Su-yŏng,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0020,Ojin,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0025,Yeoraesunwon,INSTITUTIONS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EP-0010,"Korean Buddhist delegation (6 members, 국제불교문제연구소 파견)",PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0031,Nalanda University,INSTITUTIONS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0028,Buddhist Broadcasting System,INSTITUTIONS,1,0.000000,0,0
